中国	北京
乌拉圭	蒙得维的亚
巴巴多斯	布里奇顿
圣卢西亚	卡斯特里
圭亚那	乔治敦
危地马拉	危地马拉城
多米尼加	圣多明各
墨西哥	墨西哥城
图瓦卢	富纳富提
所罗门群岛	霍尼亚拉
瑙鲁	亚伦（行政中心）
基里巴斯	塔拉瓦
马绍尔群岛	马朱罗
西撒哈拉	阿尤恩
美属萨摩亚	帕果帕果
法属圭亚那	卡宴
关岛（美）	阿加尼亚
开曼群岛	乔治敦
英属维尔京群岛	罗德城
阿鲁巴（荷）	奥拉涅斯塔德
圣赫勒拿	詹姆斯敦
巴勒斯坦	拉姆安拉
卡塔尔	多哈
黎巴嫩	贝鲁特
蒙古	乌兰巴托
土耳其	安卡拉
哈萨克斯坦	阿斯塔纳
乌兹别克斯坦	塔什干
吉尔吉斯斯坦	比什凯克
塔吉克斯坦	杜尚别
土库曼斯坦	阿什哈巴德
阿塞拜疆	巴库
格鲁吉亚	第比利斯
亚美尼亚	埃里温
塞浦路斯	尼科西亚
克什米尔	斯利那加
列支敦士登	瓦杜兹
冰岛	雷克雅未克
安道尔	安道尔城
芬兰	赫尔辛基
俄罗斯	莫斯科
奥地利	维也纳
乌克兰	基辅
白俄罗斯	明斯克
摩尔多瓦	基希讷乌
黑山	波德戈里察
赞比亚	卢萨卡
坦桑尼亚	多多马
肯尼亚	内罗毕
南非	比勒陀利亚
科摩罗	莫罗尼
津巴布韦	哈拉雷
突尼斯	突尼斯
莱索托	马塞卢
莫桑比克	马普托
索马里	摩加迪沙
科特迪瓦	亚穆苏克罗
喀麦隆	雅温得
塞内加尔	达喀尔
南苏丹	朱巴
多米尼克	罗索
阿根廷	布宜诺斯艾利斯
委内瑞拉	加拉加斯
哥伦比亚	圣菲波哥大
安提瓜和巴布达	圣约翰
苏里南	帕拉马里博
伯利兹	贝尔莫潘
哥斯达黎加	圣何塞
特立尼达和多巴哥	西班牙港
帕劳	梅莱凯奥克
密克罗尼西亚联邦	帕利基尔
瓦努阿图	维拉港
萨摩亚	阿皮亚
新喀里多尼克	努美阿	
纽埃（新）	阿洛菲
皮特凯恩（英）	亚当斯敦
格陵兰（丹）	戈特霍布
波多黎各岛（美）	圣胡安
瓜德罗普岛（法）	巴斯特尔
荷属安的列斯	威廉斯塔德
留尼汪	圣但尼
